sample_id,Ice 1e6 A,Ice 1e6 B,Ice 1e6 C,Initial 1e5 A,Initial 1e5 B,Initial 1e5 C,Initial 1e6 A,Initial 1e6 B,Initial 1e6 C,Initial 2e4 A,Initial 2e4 B,Initial 2e4 C,Initial 5e4 A,Initial 5e4 B,Initial 5e4 C,Initial 5e5 A,Initial 5e5 B,Initial 5e5 C,Sep 1e6 A,Sep 1e6 B,Sep 1e6 C
cell_type,Ice 1e6,Ice 1e6,Ice 1e6,Initial 1e5,Initial 1e5,Initial 1e5,Initial 1e6,Initial 1e6,Initial 1e6,Initial 2e4,Initial 2e4,Initial 2e4,Initial 5e4,Initial 5e4,Initial 5e4,Initial 5e5,Initial 5e5,Initial 5e5,Sep 1e6,Sep 1e6,Sep 1e6
Nicotinic acid_pos-109,1.00E+03,3.79E+04,4.51E+04,1.00E+03,1.00E+03,1.00E+03,1.10E+05,1.50E+05,1.76E+05,1.00E+03,1.00E+03,5.41E+04,1.00E+03,1.00E+03,1.00E+03,8.95E+04,8.63E+04,7.03E+04,1.00E+03,1.00E+03,1.00E+03
Nicotinic acid_Vit B3,2.57E+05,3.25E+05,3.72E+05,7.08E+04,4.30E+04,9.04E+04,9.57E+05,1.23E+06,9.26E+05,3.56E+04,5.87E+04,3.42E+04,4.35E+04,3.63E+04,3.28E+04,4.82E+05,3.87E+05,3.88E+05,2.99E+05,1.44E+05,2.18E+05
Ornithine,1.16E+05,1.16E+05,1.07E+05,1.29E+05,9.66E+04,1.13E+05,7.53E+05,1.08E+06,1.09E+06,3.84E+04,3.38E+04,5.67E+04,7.82E+04,4.49E+04,6.71E+04,5.68E+05,4.17E+05,5.12E+05,7.77E+04,3.70E+04,5.55E+04
Oxidized glutathione,4.50E+06,4.44E+06,4.00E+06,4.09E+05,2.20E+05,4.29E+05,7.06E+06,7.74E+06,5.28E+06,5.14E+04,1.60E+04,5.02E+04,3.17E+05,2.30E+05,1.73E+05,2.01E+06,2.44E+06,2.73E+06,2.19E+06,2.60E+06,3.03E+06
Pantothenic acid,1.22E+05,1.21E+05,1.06E+05,1.68E+05,7.91E+04,6.57E+04,1.44E+06,1.23E+06,1.59E+06,5.87E+04,2.87E+04,1.10E+05,1.07E+05,7.49E+04,5.69E+04,6.27E+05,4.25E+05,3.75E+05,6.10E+04,5.36E+04,5.60E+04
Phosphocreatine,6.29E+04,4.02E+04,3.33E+04,1.00E+03,1.00E+03,1.00E+03,4.99E+04,2.45E+04,5.46E+04,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.00E+03,1.99E+04,1.99E+04,3.47E+04,2.27E+04,1.43E+04,2.73E+04
Phosphorylcholine,1.18E+06,9.50E+05,8.98E+05,1.73E+05,8.97E+04,1.42E+05,7.18E+05,6.76E+05,6.55E+05,1.25E+04,7.40E+03,1.76E+04,6.89E+04,1.19E+05,1.05E+05,4.18E+05,3.13E+05,3.27E+05,6.56E+05,5.88E+05,6.00E+05
Propionylcarnitine,8.78E+05,1.13E+06,1.14E+06,1.16E+05,1.18E+05,8.83E+04,5.38E+05,7.30E+05,9.49E+05,1.00E+03,1.00E+03,2.27E+04,4.62E+04,2.91E+04,3.47E+04,3.66E+05,4.94E+05,5.95E+05,6.08E+05,5.02E+05,9.34E+05
Putrescine,4.02E+05,2.79E+05,3.04E+05,1.59E+05,9.87E+04,1.05E+05,6.23E+05,8.11E+05,5.66E+05,4.42E+04,1.62E+05,8.29E+04,6.50E+04,9.50E+04,7.46E+04,3.32E+05,1.93E+05,2.97E+05,2.69E+05,2.02E+05,2.39E+05
Pyridoxamine,4.35E+04,5.50E+04,5.41E+04,7.54E+04,5.50E+04,8.97E+04,5.31E+05,6.34E+05,6.50E+05,2.50E+04,1.00E+03,4.25E+04,5.97E+04,3.75E+04,4.51E+04,3.07E+05,2.36E+05,3.20E+05,1.00E+03,1.00E+03,1.00E+03
